,Full Address,Latitude,Longitude
,Kapra ,17.4887947,78.5716674
,A. S. Rao Nagar ,17.4784775,78.5506371
,Cherlapalli ,17.4681116,78.5973645
,Meerpet HB Colony ,17.4531172,78.5644882
,Mallapur ,17.4464663,78.5745744
,Nacharam ,17.8246612,78.5405304
,Uppal Kalan ,17.3983774,78.5582652
,Chilukanagar ,17.4218115,78.5614716
,Habsiguda ,17.4096274,78.5441143
,Ramanthapur ,17.3852774,78.5277506
,Uppal Village ,30.8859345,76.1080752
,Hayathnagar ,17.3270709,78.6053386
,Nagole ,17.3714737,78.5695016
,Mansoorabad ,17.3513367,78.5625531
,Hayathnagar ,17.3270709,78.6053386
,BN Reddy Nagar ,17.3140619,78.5613319
,LB Nagar ,17.3457176,78.5522296
,Vanasthalipuram ,17.3317096,78.5753592
,Hasthinapuram ,17.3174049,78.5520232
,Champapet ,17.3443852,78.5182617
,Lingojiguda ,17.2627535,78.9358957
,Saroornagar ,17.3529457,78.5356595
,Saroornagar ,17.3529457,78.5356595
,Rama Krishna Puram ,28.5660075,77.1767435
,Kothapet ,17.3730192,78.547636
,Chaitanyapuri ,17.3759576,78.537056
,Gaddiannaram ,17.3668729,78.5242003
,Charminar ,42.563952,-83.129355
,Malakpet ,17.3716285,78.4909673
,Saidabad ,17.3573615,78.5111959
,Moosrambagh ,17.3729724,78.5163894
,Old Malakpet ,17.3780084,78.5052574
,Akberbagh ,17.3703809,78.5057873
,Azampura ,17.3759657,78.4927853
,Chawani ,-16.0537391,35.1122924
,Dabeerpura ,17.3655876,78.485669
,Santhoshnagar ,17.3472352,78.5083082
,Rein Bazar ,17.3570981,78.4936632
,Gowlipura ,17.3506165,78.4822982
,Kurmaguda ,17.3625636,78.5000555
,IS SADAN ,17.3544412,78.5061633
,Santhosh Nagar ,17.3472352,78.5083082
,Chandrayangutta ,17.306159,78.4738869
,Lalithbagh ,17.3451236,78.4879809
,Riyasath Nagar ,17.3405639,78.4972145
,Kanchanbagh ,17.3325109,78.5098457
,Barkas ,30.4169577,-91.0903502
,Chandrayangutta ,17.306159,78.4738869
,Uppuguda ,17.3378675,78.4855344
,Jangammet ,17.3342483,78.4698663
,Charminar ,42.563952,-83.129355
,Pathergatti ,17.3659584,78.4756091
,Moghalpura ,17.3590204,78.4766152
,Shalibanda ,17.3497919,78.4680902
,Ghansi Bazar ,17.366226,78.471934
,Puranapul ,17.3638521,78.4595644
,Falakunuma ,17.3273522,78.4700798
,Falakunuma ,17.3273522,78.4700798
,Nawab Saheb Kunta ,17.3286097,78.4493276
,Doodbowli ,17.3655566,78.4781897
,Jahanuma ,17.3394727,78.4609667
,Ramnaspura ,17.3486913,78.4571054
,Kishanbagh ,17.3553368,78.4432523
,Rajendra Nagar ,17.3220253,78.4022942
,Attapur ,17.3698887,78.4304712
,Suleman Nagar ,28.6967948,77.0643614
,Shastri puram ,27.20397,77.9253155
,Mylardevpally ,17.315269,78.4501085
,Khairatabad ,17.4105858,78.4652316
,Mehdipatnam ,17.3957847,78.4311944
,Mehdipatnam ,17.3957847,78.4311944
,Gudimalkapur ,17.3787821,78.4374024
,Asif Nagar ,17.3868117,78.4538802
,Vijayanagar Colony ,17.3947265,78.451538
,Ahmed Nagar ,19.0948287,74.7479789
,Red Hills ,33.7846978,-84.1038045
,Mallepally ,17.389285,78.4588539
,Karwan ,17.378812,78.4374017
,Ziaguda ,17.3669536,78.4503274
,Karwan ,17.378812,78.4374017
,Golconda ,17.383309,78.4010528
,Tolichowki ,17.3990023,78.4156933
,Nanalnagar ,17.3948227,78.4290079
,Goshamahal ,17.3789045,78.4680902
,Begum Bazar ,17.3748293,78.4704282
,Gosha Mahal ,17.3789045,78.4680902
,Manghalhat ,17.3807988,78.4631169
,Dattathreyanagar ,12.9264538,77.5404459
,Jambagh ,17.3794002,78.4766152
,Gunfoundry ,17.3961832,78.4773256
,Khairatabad ,17.4105858,78.4652316
,Khairtabad ,17.4105858,78.4652316
,Somajiguda ,17.4237016,78.4583888
,Ameerpet ,17.4375084,78.4482441
,Sanathnagar ,17.4562544,78.4439295
,Jubilee Hills ,17.4325894,78.4070691
,Venkateshwara Colony ,17.3550492,78.5333806
,Banjara Hills ,17.416889,78.43867
,Jubilee Hills ,17.4325894,78.4070691
,Secunderabad ,17.4399295,78.4982741
,Amberpet ,17.3920179,78.5162559
,Himayatnagar ,17.4020637,78.4840052
,Kachiguda ,17.3900857,78.4933352
,Barkatpura ,17.3920012,78.4969058
,Nallakunta ,17.3991274,78.5017083
,Golnaka ,17.388837,78.5075126
,Amberpet ,17.3920179,78.5162559
,Bagh Amberpet ,17.3959949,78.5166531
,Musheerabad ,17.4196548,78.4990004
,Adikmet ,17.4046741,78.5107083
,Musheerabad ,17.4196548,78.4990004
,Ramnagar ,29.3947643,79.1264997
,Bholakpur ,17.4207177,78.498635
,Gandhinagar ,23.2156354,72.6369415
,Kavadiguda ,17.4171246,78.4906404
,Malkajgiri ,17.5698414,78.52065
,Neredmett ,17.4684272,78.5354118
,Vinayakanagar ,12.9633121,77.6792237
,Moula-Ali ,17.4628723,78.5608531
,East Anandbagh ,17.4547073,78.5456134
,Malkajgiri ,17.5698414,78.52065
,Gautham Nagar ,28.5620966,77.2139292
,Secunderabad ,17.4399295,78.4982741
,Addagutta ,17.4986184,78.3922548
,Tarnaka ,17.4300625,78.5415931
,Mettuguda ,17.4284213,78.5279593
,Seethaphalmandi ,17.4267948,78.5193163
,Boudha Nagar ,17.4186636,78.517888
,Begumpet ,17.4447068,78.4663812
,Bansilalpet ,17.428027,78.4940439
,Ramgopal Pet ,17.4381339,78.4851396
,Begumpet ,17.4447068,78.4663812
,Monda Market ,17.4336576,78.495794
,Serilingampally ,17.4836979,78.3158338
,Yousufguda ,17.4340479,78.4269776
,Yousufguda ,17.4340479,78.4269776
,Vengalrao Nagar ,17.4425851,78.4390881
,Erragadda ,17.455867,78.4251967
,Rahamath Nagar ,17.440527,78.422826
,Borabanda ,17.4534663,78.4130138
,Serilingampally ,17.4836979,78.3158338
,Kondapur Ranga Reddy ,17.4698577,78.3578246
,Gachibowli ,17.4400802,78.3489168
,Serilingampally ,17.4836979,78.3158338
,Chandanagar ,17.4934113,78.3277948
,Madhapur ,17.4485835,78.3908035
,Miyapur ,17.5169014,78.3428304
,Hafeezpet ,17.4841683,78.3602942
,Chanda Nagar ,17.4934113,78.3277948
,Ramachandra Puram ,16.8372408,82.0325401
,Patancheru ,17.5287427,78.266725
,Ramachandra Puram ,16.8372408,82.0325401
,Patancheruvu ,17.5287427,78.266725
,Kukatpally ,17.4947934,78.3996441
,Moosapet ,17.4677964,78.4252792
,KPHB Colony ,17.4833526,78.3870668
,Balajinagar ,18.4646316,73.8602841
,Allapur Nalgandla ,17.4747785,78.3102918
,Moosapet ,17.4677964,78.4252792
,Fathe Nagar ,17.4572989,78.4517485
,Kukatpally ,17.4947934,78.3996441
,Old Bowenpally ,17.4798291,78.4812494
,Balanagar Medchal district ,17.4813993,78.4489935
,Kukatpally ,17.4947934,78.3996441
,Vivekananda Nagar Colony ,17.4949675,78.4112384
,Hydernagar ,17.5011026,78.3851635
,Allwyn Colony ,17.5066172,78.4112384
,Quthbullapur ,17.2552725,78.0252466
,Rangareddy nagar ,17.4917166,78.4364702
,Subhashnagar ,28.640368,77.104974
,Qutbullapur ,17.4956831,78.4650061
,Jeedimetla ,17.5196968,78.4586419
,Gajula Ramaram ,17.5349627,78.4022446
,Gajula Ramaram ,17.5349627,78.4022446
,Jagadgirigutta ,17.5073336,78.4077422
,Chintal ,17.5161534,78.4496168
,Suraram Colony Ranga Reddy district ,17.5412112,78.4338481
,Alwal ,17.4967016,78.5066233
,Macha Bollaram ,17.5133794,78.514259
,Alwal ,17.4967016,78.5066233
,Venkatapuram] ,18.3028244,80.5521785